CMDLINE /usr/bin/python3 transfer_attacks.py
MEM 0.812500 1619102747.5377
MEM 17.953125 1619102747.6382
MEM 26.914062 1619102747.7386
MEM 36.460938 1619102747.8390
MEM 78.675781 1619102747.9394
MEM 130.960938 1619102748.0399
MEM 153.691406 1619102748.1404
MEM 159.175781 1619102748.2408
MEM 170.500000 1619102748.3412
MEM 181.421875 1619102748.4416
MEM 192.078125 1619102748.5420
MEM 216.640625 1619102748.6423
MEM 222.273438 1619102748.7429
MEM 236.347656 1619102748.8434
MEM 296.679688 1619102748.9439
MEM 304.726562 1619102749.0445
MEM 387.347656 1619102749.1451
MEM 464.570312 1619102749.2455
MEM 553.558594 1619102749.3461
MEM 634.804688 1619102749.4466
MEM 715.289062 1619102749.5471
MEM 802.175781 1619102749.6475
MEM 879.714844 1619102749.7480
MEM 969.878906 1619102749.8485
MEM 1052.015625 1619102749.9490
MEM 1149.257812 1619102750.0495
MEM 1224.703125 1619102750.1501
MEM 1325.042969 1619102750.2506
MEM 1411.214844 1619102750.3512
MEM 1465.726562 1619102750.4518
MEM 1559.664062 1619102750.5523
MEM 1618.750000 1619102750.6529
MEM 1700.917969 1619102750.7534
MEM 1794.085938 1619102750.8539
MEM 1856.195312 1619102750.9545
MEM 1934.035156 1619102751.0550
MEM 2029.253906 1619102751.1554
MEM 2098.734375 1619102751.2559
MEM 2187.925781 1619102751.3565
MEM 2269.769531 1619102751.4571
MEM 2342.269531 1619102751.5575
MEM 2469.328125 1619102751.6579
MEM 2547.269531 1619102751.7583
MEM 2518.359375 1619102751.8587
MEM 2603.003906 1619102751.9591
MEM 2669.535156 1619102752.0596
MEM 2669.445312 1619102752.1601
MEM 2669.453125 1619102752.2606
MEM 2669.468750 1619102752.3611
MEM 2669.632812 1619102752.4616
MEM 2697.785156 1619102752.5620
MEM 2701.277344 1619102752.6624
MEM 2701.277344 1619102752.7629
MEM 2701.277344 1619102752.8632
MEM 2701.277344 1619102752.9636
MEM 2701.277344 1619102753.0639
MEM 2701.277344 1619102753.1643
MEM 2701.277344 1619102753.2646
MEM 2701.410156 1619102753.3649
MEM 2701.410156 1619102753.4652
MEM 2701.410156 1619102753.5656
MEM 2701.410156 1619102753.6659
MEM 2701.410156 1619102753.7662
MEM 2701.410156 1619102753.8665
MEM 2701.410156 1619102753.9668
MEM 2701.410156 1619102754.0672
MEM 2701.410156 1619102754.1675
MEM 2701.410156 1619102754.2678
MEM 2701.410156 1619102754.3682
MEM 2701.410156 1619102754.4685
MEM 2701.410156 1619102754.5689
MEM 2701.410156 1619102754.6692
MEM 2701.410156 1619102754.7695
MEM 2701.410156 1619102754.8698
MEM 2701.410156 1619102754.9701
MEM 2701.410156 1619102755.0705
MEM 2701.410156 1619102755.1708
MEM 2701.410156 1619102755.2712
MEM 2701.410156 1619102755.3715
MEM 2701.410156 1619102755.4719
MEM 2701.410156 1619102755.5722
MEM 2701.410156 1619102755.6726
MEM 2701.410156 1619102755.7729
MEM 2701.410156 1619102755.8732
MEM 2701.414062 1619102755.9736
MEM 2701.414062 1619102756.0739
MEM 2701.414062 1619102756.1743
MEM 2701.414062 1619102756.2746
MEM 2701.414062 1619102756.3749
MEM 2701.414062 1619102756.4752
MEM 2701.414062 1619102756.5756
MEM 2701.414062 1619102756.6761
MEM 2701.414062 1619102756.7765
MEM 2701.414062 1619102756.8768
MEM 2701.414062 1619102756.9772
MEM 2701.414062 1619102757.0775
MEM 2701.414062 1619102757.1778
MEM 2701.414062 1619102757.2782
MEM 2701.414062 1619102757.3785
MEM 2701.414062 1619102757.4788
MEM 2701.414062 1619102757.5791
MEM 2701.414062 1619102757.6794
MEM 2701.414062 1619102757.7798
MEM 2701.414062 1619102757.8802
MEM 2701.414062 1619102757.9805
MEM 2701.414062 1619102758.0809
MEM 2701.414062 1619102758.1812
MEM 2701.414062 1619102758.2815
MEM 2701.414062 1619102758.3819
MEM 2701.414062 1619102758.4822
MEM 2701.414062 1619102758.5825
MEM 2701.414062 1619102758.6829
MEM 2701.414062 1619102758.7832
MEM 2701.414062 1619102758.8836
MEM 2701.414062 1619102758.9839
MEM 2701.414062 1619102759.0843
MEM 2701.414062 1619102759.1846
MEM 2701.414062 1619102759.2850
MEM 2701.414062 1619102759.3854
MEM 2701.414062 1619102759.4857
MEM 2701.414062 1619102759.5861
MEM 2701.414062 1619102759.6864
MEM 2701.414062 1619102759.7867
MEM 2701.414062 1619102759.8871
MEM 2701.414062 1619102759.9874
MEM 2701.414062 1619102760.0877
MEM 2701.414062 1619102760.1881
MEM 2701.414062 1619102760.2886
MEM 2701.414062 1619102760.3890
MEM 2701.414062 1619102760.4893
MEM 2701.414062 1619102760.5896
MEM 2701.414062 1619102760.6900
MEM 2701.414062 1619102760.7902
MEM 2701.414062 1619102760.8906
MEM 2701.414062 1619102760.9910
MEM 2701.414062 1619102761.0914
MEM 2701.414062 1619102761.1917
MEM 2701.414062 1619102761.2920
MEM 2701.414062 1619102761.3924
MEM 2701.414062 1619102761.4928
MEM 2701.414062 1619102761.5932
MEM 2701.414062 1619102761.6935
MEM 2701.414062 1619102761.7940
MEM 2701.414062 1619102761.8944
MEM 2701.414062 1619102761.9947
MEM 2701.414062 1619102762.0950
MEM 2701.414062 1619102762.1953
MEM 2701.414062 1619102762.2957
MEM 2701.414062 1619102762.3960
MEM 2701.414062 1619102762.4964
MEM 2701.414062 1619102762.5967
MEM 2701.414062 1619102762.6970
MEM 2701.414062 1619102762.7973
MEM 2701.414062 1619102762.8977
MEM 2701.414062 1619102762.9981
MEM 2701.414062 1619102763.0985
MEM 2701.414062 1619102763.1989
MEM 2701.414062 1619102763.2993
MEM 2701.414062 1619102763.3996
MEM 2701.414062 1619102763.5000
MEM 2701.414062 1619102763.6004
MEM 2701.414062 1619102763.7008
MEM 2701.414062 1619102763.8013
MEM 2701.414062 1619102763.9017
MEM 2701.414062 1619102764.0021
MEM 2701.414062 1619102764.1025
MEM 2701.414062 1619102764.2028
MEM 2701.414062 1619102764.3032
MEM 2701.414062 1619102764.4036
MEM 2701.414062 1619102764.5039
MEM 2701.414062 1619102764.6042
MEM 2701.414062 1619102764.7046
MEM 2701.414062 1619102764.8049
MEM 2701.414062 1619102764.9053
MEM 2701.414062 1619102765.0056
MEM 2701.414062 1619102765.1060
MEM 2701.414062 1619102765.2063
MEM 2701.414062 1619102765.3066
MEM 2701.414062 1619102765.4069
MEM 2701.414062 1619102765.5072
MEM 2701.414062 1619102765.6076
MEM 2701.414062 1619102765.7079
MEM 2701.414062 1619102765.8083
MEM 2701.414062 1619102765.9086
MEM 2701.414062 1619102766.0090
MEM 2701.414062 1619102766.1093
MEM 2701.414062 1619102766.2096
MEM 2701.414062 1619102766.3100
MEM 2701.414062 1619102766.4104
MEM 2701.414062 1619102766.5108
MEM 2701.414062 1619102766.6111
MEM 2701.414062 1619102766.7114
MEM 2701.414062 1619102766.8118
MEM 2701.414062 1619102766.9121
MEM 2701.414062 1619102767.0125
MEM 2701.414062 1619102767.1128
MEM 2701.414062 1619102767.2132
MEM 2701.414062 1619102767.3135
MEM 2701.414062 1619102767.4139
MEM 2701.414062 1619102767.5142
MEM 2701.414062 1619102767.6146
MEM 2701.414062 1619102767.7149
MEM 2701.414062 1619102767.8152
MEM 2701.414062 1619102767.9156
MEM 2701.414062 1619102768.0159
MEM 2701.414062 1619102768.1163
MEM 2701.414062 1619102768.2166
MEM 2701.414062 1619102768.3170
MEM 2701.414062 1619102768.4173
MEM 2701.414062 1619102768.5177
MEM 2701.414062 1619102768.6180
MEM 2701.414062 1619102768.7182
MEM 2701.414062 1619102768.8186
MEM 2701.414062 1619102768.9189
MEM 2701.414062 1619102769.0194
MEM 2701.414062 1619102769.1198
MEM 2701.414062 1619102769.2201
MEM 2701.414062 1619102769.3205
MEM 2701.414062 1619102769.4209
MEM 2701.414062 1619102769.5213
MEM 2701.414062 1619102769.6216
MEM 2701.414062 1619102769.7221
MEM 2701.414062 1619102769.8224
MEM 2701.414062 1619102769.9228
MEM 2701.414062 1619102770.0231
MEM 2701.414062 1619102770.1235
MEM 2701.414062 1619102770.2238
MEM 2701.414062 1619102770.3242
MEM 2701.414062 1619102770.4245
MEM 2701.414062 1619102770.5248
MEM 2701.414062 1619102770.6251
MEM 2701.414062 1619102770.7255
MEM 2701.414062 1619102770.8258
MEM 2701.414062 1619102770.9262
MEM 2701.414062 1619102771.0266
MEM 2701.414062 1619102771.1269
MEM 2701.414062 1619102771.2273
MEM 2701.414062 1619102771.3276
MEM 2701.414062 1619102771.4279
MEM 2701.414062 1619102771.5282
MEM 2701.414062 1619102771.6286
MEM 2701.414062 1619102771.7289
MEM 2701.414062 1619102771.8292
MEM 2701.414062 1619102771.9296
MEM 2701.414062 1619102772.0298
MEM 2701.414062 1619102772.1301
MEM 2701.414062 1619102772.2306
MEM 2701.414062 1619102772.3310
MEM 2701.414062 1619102772.4313
MEM 2701.414062 1619102772.5317
MEM 2701.414062 1619102772.6322
MEM 2701.414062 1619102772.7325
MEM 2701.414062 1619102772.8328
MEM 2701.414062 1619102772.9331
FUNC adversarial_attacks.get_max_eigenpair 2680.4219 1619102752.5107 2701.4141 1619102772.9862 1
FUNC adversarial_attacks.get_OSSA_attack_accuracy 2669.8516 1619102752.0643 2701.8125 1619102773.0939 0
